rubygem_id,gem_downloads
14978,74026
14979,309202
14980,6283
14981,646236499
14982,612851840
14983,6175
14984,12517303
14985,6279
14986,34597156
14987,28837
14988,6443
14989,15907
14990,18094850
14991,127238
14992,79666784
14993,21084
14994,3299257
14995,6529
14996,10820
14997,6331
14998,167225
14999,1409742
15000,57336
15001,34612
15002,1585305
15003,10902
15004,7642
15005,4021
15007,28436
15008,22964
15009,5513021
15010,24480
15011,828278
15012,4718935
15013,169661103
15014,58714603
15015,10778
15016,208715
15017,6265
15018,101155616
15019,682381
15020,10330
15021,6333
15022,726
15023,15869365
15024,12451
15025,28902
15026,15273
15027,78411
15028,38851
15029,107583718
15030,87145
15031,10640
15032,2900946
15033,174573
15034,3566
15035,595229
15036,6555
15037,28768
15038,188980
15039,6153
15040,10906
15041,29957
15042,6313
15043,557188
15044,532418
15046,10790
15047,19306
15048,6577
15049,6374
15053,19666
15054,89104575
15055,367049525
15056,28873
15057,65405
15058,32144
15059,58568
15060,1794763
15061,27611
15062,49880
15063,6069
15064,10372
15065,137223
15066,2650059
15067,58540453
15068,190780
15069,6822684
15070,14466
15071,36411
15072,6107
15073,21126
15074,46399
15075,32594
15076,946436041
15077,697314654
15078,6295
15079,11193
15080,29294
15081,63318
15082,400800
15083,128728
15084,16700
15085,4492325
15086,43265
15087,11665
15088,1858781
15089,20375
15090,664818
15091,44788
15092,30943
15093,410907
15094,14465
15095,32795
15096,167512
15097,4810820
15098,4165883
15099,36302
15100,736506
15101,31794
15103,6018
15104,17827
15105,10398
15106,586870
15107,201508
15108,10564
15109,6003
15110,10197
15111,47824
15112,943150
15113,970670
15114,53854
15115,14477
15116,8309
15117,118380906
15118,5909
15119,5937
15120,14292
15121,6137
15122,15415
15123,1000944675
15124,78040
15125,31455
15126,14949
15127,1153628
15128,10586
15129,6225
15130,445479
15131,10274
15132,8379
15133,6271
15134,45737
15135,15381
15136,88765
15137,8374
15138,18137112
15142,4653510
15143,6269
15144,21095
15145,75051
15146,66864
15147,6009
15148,5943
15149,21355
15150,46752
15151,7977
15152,178958033
15153,35277
15154,28915
15155,22798
15156,5887
15157,5909
15158,5961
15159,1345734
15160,30608459
15161,5907
15162,359569
15163,647331176
15164,571136
15165,36575
15166,15887
15167,36566
15168,3541683
15169,10446
15170,125417210
15171,2257143
15172,15841
15173,31507096
15174,49117
15175,344345
15176,96204
15177,4731910
15178,71290
15179,615350
15180,3736122
15181,18081377
15182,343654
15183,5951
15184,24117
15185,27925
15186,14947
15187,5048606
15188,3036403
15189,1706408
15190,2420698
15191,10361
15192,35523
15193,124030145
15194,6049
15195,767769
15196,11985
15197,57432
15198,1030937
15199,40860
15200,474970
15201,624919
15202,18696
15203,406163
15204,112041
15205,69891
15206,1671610
15207,50462
15208,356551
15209,1233448
15210,36026488
15211,435632
15212,104890
15213,3005187
15214,91972
15215,256289
15216,63118
15217,263942
15218,268309
15219,237908
15220,228730
15221,707899
15222,2141099
15223,322718
15224,1197860
15225,223689
15226,43314
15227,21722
15228,21324
15229,27747
15230,21372
15231,66093035
15232,211516
15233,10610
15234,480689
15235,7081
15236,10732
15237,419365626
15238,5971
15239,10289544
15240,5919
15241,6395
15242,6083
15243,10514
15244,6737
15245,79429059
15246,29859883
15247,14447
15248,6279
15249,91466
15250,14658
15251,159780
15252,2782574
15253,225208
15254,14381
15255,5943
15256,18942
15257,137033
15258,65394
15259,5895
15260,56160
15261,702829533
15262,196373
15263,5839
15264,5943
15265,23183
15266,11639
15267,7597
15268,7415
15269,7445
15270,16890
15271,5919188
15272,580459207
15273,90922
15274,539130198
15275,234916
15276,7010660
15277,328190
15278,116131793
15279,166024152
15280,285627470
15281,239432
15282,12200286
15283,15621503
15284,19473
15285,14865
15286,29761
15287,126748
15288,1485562
15289,214757
15290,95362
15291,14887
15292,22982
15293,19020
15294,165326
15295,142471195
15296,99249
15297,5899
15298,8775
15299,10237
15300,18990
15301,15195
15302,6005
15303,76903
15304,20400
15305,15901269
15306,43815
15307,87202454
15308,39928
15309,6800508
15310,1073733
15311,20274
15312,28668
15313,3931522
15314,455753
15315,69025
15316,260401349
15317,44059907
15318,60099
15319,14192676
15320,2480250
15321,404735
15322,5945
15323,13284
15324,24866
15325,10156
15326,22949
15327,142256756
15328,10424
15329,1818237
15330,18577
15331,6209
15332,19310
15333,84956858
15334,2679453
15335,86885
15336,31353
15337,5614
15338,6089
15339,5851
15340,11008
15342,6845
15343,7137
15344,6471
15345,14743
15346,719631
15347,10187
15348,2232693
15349,51309236
15350,10238
15351,5943
15352,23696
15353,451059195
15354,17612618
15355,940558
15356,14967
15357,126633
15358,5835
15359,10251
15360,14787
15361,81036827
15362,10523
15363,5989
15364,259785
15365,52406162
15366,10210
15367,19072
15368,209816092
15369,17993
15370,61330576
15371,276298077
15372,5853
15373,28489
15374,10310
15375,1321275
15376,27695
15377,5815
15378,14474
15379,16570
15380,15555
15381,10240
15382,33677
15383,14617
15384,14802
15385,3222821
15386,3702192
15387,409530
15388,46447958
15389,232684251
15390,45163
15391,27272
15392,118338
15393,192799
15394,116303
15395,337451
15396,349242
15398,8970775
15399,27580
15400,10594
15402,91311
15403,5969
15404,729714
15405,5969
15406,14372
15407,32270
15408,14418
